name,color,model,price,Màn hình:,Hệ điều hành:,Camera sau:,Camera trước:,Chip:,RAM:,Dung lượng lưu trữ:,SIM:,"Pin, Sạc:",Danh bạ:,Thẻ nhớ:,Radio FM:,Jack cắm tai nghe:,Pin:
Điện thoại Samsung Galaxy A14 4GB,Bạc,4GB,3.990.000₫ ,"PLS LCD, 6.6"", Full HD+",Android 13,"Chính 50 MP & Phụ 5 MP, 2 MP",13 MP,Exynos 850,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 15 W",,,,,
Điện thoại Samsung Galaxy A14 4GB,Đen,4GB,3.990.000₫ ,"PLS LCD, 6.6"", Full HD+",Android 13,"Chính 50 MP & Phụ 5 MP, 2 MP",13 MP,Exynos 850,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 15 W",,,,,
Điện thoại Samsung Galaxy A14 4GB,Đỏ đô,4GB,3.990.000₫ ,"PLS LCD, 6.6"", Full HD+",Android 13,"Chính 50 MP & Phụ 5 MP, 2 MP",13 MP,Exynos 850,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 15 W",,,,,
Điện thoại Samsung Galaxy A14 6GB,Đen,6GB,4.090.000₫ ,"PLS LCD, 6.6"", Full HD+",Android 13,"Chính 50 MP & Phụ 5 MP, 2 MP",13 MP,Exynos 850,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 15 W",,,,,
Điện thoại Samsung Galaxy A14 6GB,Đỏ đô,6GB,4.090.000₫ ,"PLS LCD, 6.6"", Full HD+",Android 13,"Chính 50 MP & Phụ 5 MP, 2 MP",13 MP,Exynos 850,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 15 W",,,,,
Điện thoại Samsung Galaxy A14 6GB,Bạc,6GB,4.090.000₫ ,"PLS LCD, 6.6"", Full HD+",Android 13,"Chính 50 MP & Phụ 5 MP, 2 MP",13 MP,Exynos 850,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 15 W",,,,,
Điện thoại OPPO Find N2 Flip 5G,Tím,,19.990.000₫ ,"AMOLED, Chính 6.8"" & Phụ 3.26"", Full HD+",Android 13,Chính 50 MP & Phụ 8 MP,32 MP,MediaTek Dimensity 9000+ 8 nhân,8 GB,256 GB,"2 Nano SIM, Hỗ trợ 5G","4300 mAh, 44 W",,,,,
Điện thoại OPPO Find N2 Flip 5G,Đen,,19.990.000₫ ,"AMOLED, Chính 6.8"" & Phụ 3.26"", Full HD+",Android 13,Chính 50 MP & Phụ 8 MP,32 MP,MediaTek Dimensity 9000+ 8 nhân,8 GB,256 GB,"2 Nano SIM, Hỗ trợ 5G","4300 mAh, 44 W",,,,,
Điện thoại iPhone 14 Pro Max 128GB,Đen,128GB,,"OLED, 6.7"", Super Retina XDR",iOS 16,"Chính 48 MP & Phụ 12 MP, 12 MP",12 MP,Apple A16 Bionic,6 GB,128 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 5G","4323 mAh, 20 W",,,,,
Điện thoại iPhone 14 Pro Max 128GB,Bạc,128GB,,"OLED, 6.7"", Super Retina XDR",iOS 16,"Chính 48 MP & Phụ 12 MP, 12 MP",12 MP,Apple A16 Bionic,6 GB,128 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 5G","4323 mAh, 20 W",,,,,
